eqmt,rcvr,bar,eqmt height,rcvr height,bar height,source to receiver,source to bar (ft),noise data (if OB Fresnel used)
BEF-R08-,R2,bar2,75,40,75.4,116.2,44.1,,,,,,,,
BEF-R09-,R2,bar2,75,40,75.4,113.4,45.0,,,,,,,,
BEF-R10-,R2,bar2,75,40,75.4,116.7,48.1,,,,,,,,
BEF-R11-,R2,bar2,75,40,75.4,120.5,48.0,,,,,,,,
BEF-R12-,R2,bar1,75,40,75.4,90.3,44.5,,,,,,,,
BEF-R13-,R2,bar1,75,40,75.4,74.7,35.8,,,,,,,,
BEF-R14-,R2,bar1,75,40,75.4,76.7,36.7,,,,,,,,
BEF-R15-,R2,bar21,75,40,75.4,90.4,33.4,,,,,,,,
BEF-R16-,R2,bar1,75,40,75.4,97.5,48.1,,,,,,,,
MAU-R1,R3,bar3,74.2,60,75.4,136.9,101.6,80,77,84,87,80,72,69,61
ERV-R.1,R3,bar4,72.5,60,75.4,117.6,105.6,91,92,95,89,86,76,72,67
GEF-R1-,R3,bar5,75,60,75.4,15.9,5.6,88,88,83,78,77,73,65,58
"DEF-R1,-R2",R3,bar5,72,60,75.4,110.2,99.7,81,79,73,66,61,59,50,43
KEF-R1-,R3,bar3,75.5,60,75.4,165.2,125.1,84,87,83,78,74,69,64,60
DWEF-R1,R3,bar3,74,60,75.4,151.2,114.0,73,76,75,67,61,61,56,51
CU-R1,R3,bar3,76.5,60,75.4,114.5,85.5,,,,,,,,
CU-R2,R3,bar3,76.5,60,75.4,119.9,90.3,,,,,,,,
CU-R4,R3,bar3,76,60,75.4,114.1,86.2,,,,,,,,
CU-R5,R3,bar3,76,60,75.4,129.5,96.1,,,,,,,,
RCU-R(4p)1,R3,bar5,74,60,75.4,26.1,12.3,,,,,,,,
RCU-R(4p)2,R3,bar5,74,60,75.4,124.1,113.8,,,,,,,,
RCU-R(4p)3,R3,bar3,74,60,75.4,102.1,74.1,,,,,,,,
RCU-R(2p),R3,bar3,74,60,75.4,107.9,78.1,,,,,,,,
RCU-R(2p)1,R3,bar3,74,60,75.4,124.6,90.4,,,,,,,,
RCU-R(4p)4,R3,bar3,74,60,75.4,145.3,105.3,,,,,,,,
RCU-R(2p)2,R3,bar3,74,60,75.4,169.0,132.3,,,,,,,,
RCU-R(2p)3,R3,bar3,74,60,75.4,166.3,134.0,,,,,,,,
RCU-R(2p)4,R3,bar3,74,60,75.4,154.6,124.5,,,,,,,,
RCU-R(2p)5,R3,bar3,74,60,75.4,144.7,116.6,,,,,,,,
RCU-R(2p)6,R3,bar4,74,60,75.4,137.0,123.4,,,,,,,,
RCU-R(2p)6,R3,bar4,74,60,75.4,137.0,123.4,,,,,,,,
BEF-R02-,R3,bar2,75,60,75.4,156.1,111.1,,,,,,,,
BEF-R03-,R3,bar3,75,60,75.4,132.9,96.2,,,,,,,,
BEF-R04-,R3,bar3,75,60,75.4,116.3,84.8,,,,,,,,
BEF-R05-,R3,bar3,75,60,75.4,76.7,47.3,,,,,,,,
BEF-R06-,R3,bar3,75,60,75.4,54.4,18.2,,,,,,,,
BEF-R06-,R3,bar3,75,60,75.4,54.4,18.2,,,,,,,,
BEF-R08-,R3,bar5,75,60,75.4,13.5,2.5,,,,,,,,
BEF-R09-,R3,bar5,75,60,75.4,40.0,29.6,,,,,,,,
BEF-R10-,R3,bar5,75,60,75.4,69.1,58.8,,,,,,,,
BEF-R11-,R3,bar5,75,60,75.4,94.1,83.9,,,,,,,,
BEF-R12-,R3,bar3,75,60,75.4,139.4,111.8,,,,,,,,
BEF-R13-,R3,bar3,75,60,75.4,159.0,127.1,,,,,,,,
BEF-R14-,R3,bar3,75,60,75.4,176.4,141.0,,,,,,,,
BEF-R15-,R3,bar3,75,60,75.4,197.4,159.3,,,,,,,,
BEF-R16-,R3,bar4,75,60,75.4,135.1,121.6,,,,,,,,
MAU-R1,R4,bar12,74.2,40,75.4,213.3,104.5,80,77,84,87,80,72,69,61
ERV-R.1,R4,bar12,72.5,40,75.4,166.5,52.0,91,92,95,89,86,76,72,67
GEF-R1-,R4,bar6,75,40,75.4,116.6,25.4,88,88,83,78,77,73,65,58
"DEF-R1,-R2",R4,bar12,72,40,75.4,151.2,35.5,81,79,73,66,61,59,50,43
KEF-R1-,R4,bar12,75.5,40,75.4,246.5,138.0,84,87,83,78,74,69,64,60
DWEF-R1,R4,bar12,74,40,75.4,229.3,120.5,73,76,75,67,61,61,56,51
CU-R1,R4,bar12,76.5,40,75.4,175.5,64.4,,,,,,,,
CU-R2,R4,bar12,76.5,40,75.4,182.7,71.6,,,,,,,,
CU-R4,R4,bar12,76,40,75.4,170.0,57.7,,,,,,,,
CU-R5,R4,bar12,76,40,75.4,202.8,93.6,,,,,,,,
RCU-R(4p)1,R4,bar6,74,40,75.4,96.0,4.5,,,,,,,,
RCU-R(4p)2,R4,bar12,74,40,75.4,155.8,34.4,,,,,,,,
RCU-R(4p)3,R4,bar12,74,40,75.4,161.7,51.4,,,,,,,,
RCU-R(2p),R4,bar12,74,40,75.4,174.2,64.7,,,,,,,,
RCU-R(2p)1,R4,bar11,74,40,75.4,200.6,106.5,,,,,,,,
RCU-R(4p)4,R4,bar10,74,40,75.4,228.4,137.3,,,,,,,,
RCU-R(2p)2,R4,bar12,74,40,75.4,244.4,134.3,,,,,,,,
RCU-R(2p)3,R4,bar12,74,40,75.4,231.2,117.9,,,,,,,,
RCU-R(2p)4,R4,bar12,74,40,75.4,212.6,97.6,,,,,,,,
RCU-R(2p)5,R4,bar12,74,40,75.4,194.5,77.2,,,,,,,,
RCU-R(2p)6,R4,bar12,74,40,75.4,176.7,56.4,,,,,,,,
BEF-R01-,R4,bar10,75,40,75.4,264.9,174.4,,,,,,,,
BEF-R02-,R4,bar10,75,40,75.4,241.7,150.9,,,,,,,,
BEF-R03-,R4,bar10,75,40,75.4,212.6,121.2,,,,,,,,
BEF-R04-,R4,bar12,75,40,75.4,186.5,77.3,,,,,,,,
BEF-R05-,R4,bar10,75,40,75.4,151.1,61.1,,,,,,,,
BEF-R06-,R4,bar8,75,40,75.4,149.5,46.5,,,,,,,,
BEF-R07-,R4,bar7,75,40,75.4,151.5,59.0,,,,,,,,
BEF-R08-,R4,bar6,75,40,75.4,109.7,17.4,,,,,,,,
BEF-R08-,R4,bar6,75,40,75.4,109.7,17.4,,,,,,,,
BEF-R10-,R4,bar11,75,40,75.4,102.3,8.8,,,,,,,,
BEF-R10-,R4,bar11,75,40,75.4,102.3,8.8,,,,,,,,
BEF-R12-,R4,bar12,75,40,75.4,186.5,68.8,,,,,,,,
BEF-R13-,R4,bar12,75,40,75.4,223.4,110.3,,,,,,,,
BEF-R14-,R4,bar12,75,40,75.4,248.2,136.8,,,,,,,,
BEF-R15-,R4,bar12,75,40,75.4,272.6,161.6,,,,,,,,
BEF-R16-,R4,bar12,75,40,75.4,175.7,56.0,,,,,,,,
MAU-R1,R5,bar17,74.2,45,75.4,145.1,38.1,80,77,84,87,80,72,69,61
ERV-R.1,R5,bar17,72.5,45,75.4,167.4,31.5,91,92,95,89,86,76,72,67
GEF-R1-,R5,bar17,75,45,75.4,264.5,145.3,88,88,83,78,77,73,65,58
"DEF-R1,-R2",R5,bar17,72,45,75.4,180.7,37.5,81,79,73,66,61,59,50,43
KEF-R1-,R5,bar20,75.5,45,75.4,127.7,13.3,84,87,83,78,74,69,64,60
DWEF-R1,R5,bar17,74,45,75.4,134.5,31.6,73,76,75,67,61,61,56,51
CU-R1,R5,bar17,76.5,45,75.4,165.5,41.4,,,,,,,,
CU-R2,R5,bar17,76.5,45,75.4,159.4,37.6,,,,,,,,
CU-R4,R5,bar17,76,45,75.4,167.7,38.7,,,,,,,,
CU-R5,R5,bar17,76,45,75.4,150.4,39.6,,,,,,,,
RCU-R(4p)1,R5,bar17,74,45,75.4,274.3,148.4,,,,,,,,
RCU-R(4p)2,R5,bar17,74,45,75.4,173.1,16.6,,,,,,,,
RCU-R(4p)3,R5,bar17,74,45,75.4,179.2,52.5,,,,,,,,
RCU-R(2p),R5,bar17,74,45,75.4,171.3,50.8,,,,,,,,
RCU-R(2p)1,R5,bar17,74,45,75.4,155.9,46.1,,,,,,,,
RCU-R(4p)4,R5,bar18,74,45,75.4,144.1,33.7,,,,,,,,
RCU-R(2p)2,R5,bar18,74,45,75.4,117.7,3.9,,,,,,,,
RCU-R(2p)3,R5,bar17,74,45,75.4,113.1,2.3,,,,,,,,
RCU-R(2p)4,R5,bar17,74,45,75.4,124.6,2.5,,,,,,,,
RCU-R(2p)5,R5,bar17,74,45,75.4,138.0,2.7,,,,,,,,
RCU-R(2p)6,R5,bar17,74,45,75.4,152.9,3.2,,,,,,,,
RCU-R(2p)6,R5,bar17,74,45,75.4,152.9,3.2,,,,,,,,
BEF-R02-,R5,bar20,75,45,75.4,140.1,21.9,,,,,,,,
BEF-R03-,R5,bar17,75,45,75.4,150.7,45.0,,,,,,,,
BEF-R04-,R5,bar17,75,45,75.4,162.6,46.7,,,,,,,,
BEF-R05-,R5,bar17,75,45,75.4,202.5,82.7,,,,,,,,
BEF-R06-,R5,bar17,75,45,75.4,225.5,111.9,,,,,,,,
BEF-R07-,R5,bar17,75,45,75.4,247.9,137.9,,,,,,,,
BEF-R08-,R5,bar17,75,45,75.4,271.8,151.1,,,,,,,,
BEF-R09-,R5,bar17,75,45,75.4,253.4,124.9,,,,,,,,
BEF-R10-,R5,bar17,75,45,75.4,234.8,94.0,,,,,,,,
BEF-R11-,R5,bar17,75,45,75.4,216.3,61.8,,,,,,,,
BEF-R12-,R5,bar17,75,45,75.4,145.1,6.0,,,,,,,,
BEF-R13-,R5,bar17,75,45,75.4,120.0,7.0,,,,,,,,
BEF-R14-,R5,bar18,75,45,75.4,108.2,1.6,,,,,,,,
BEF-R14-,R5,bar18,75,45,75.4,108.2,1.6,,,,,,,,
BEF-R16-,R5,bar17,75,45,75.4,154.2,6.2,,,,,,,,
